,population
MYW,2285306.0260264776
YUD,604.7671370840196
GBB,744944.6312980872
XRY,1006266.8632680136
VKT,59473.31928667535
CBT,3070912.8646439863
IGD,605439.6473542645
SAV,499994.7537725147
SIN,8258754.419135158
USN,816175.1747233701
GZO,64650.536096670876
LYG,10252941.536453193
NUS,22721.212264871938
SBN,654893.4778384543
CYO,456768.3815046292
IRJ,300386.75627394114
PIS,505360.97745063296
ILY,96400.40569826572
PZU,2263965.4105630927
RDM,225624.0433097313
MUN,769282.653701397
SYR,594084.5280221086
FPO,219916.76173657348
CRL,5016314.800925821
KKJ,477424.87585740647
MOT,113130.6328313516
GGG,173820.31109024724
KCZ,940456.9359770024
HFA,2385372.0093931146
OTZ,3158.487221610755
SXF,4750147.226292509
RHO,1073123.123975505
YQZ,35007.5327517167
PPB,1021234.684198864
WMX,860041.2241436719
SZX,17687767.019870218
ZUM,2845.06670205258
SOU,1100943.166038388
ASO,6177576.850368765
YIO,846.6786040689548
YKQ,3337.205255881397
RSD,10656.447667988105
FLS,44647.392530838086
GLT,128542.23061218971
SLU,139676.89809546215
KUV,1107609.823291608
LIN,1815335.4609044339
HKG,28387108.77526924
LBS,45870.475232957644
GDN,4016796.2018154035
MUB,219595.42464164
IAD,5488432.596091028
BBI,23945547.813236285
MAF,456313.748539806
JIJ,4060730.507825417
DZA,425628.97594877327
YGP,29380.159857596573
MOC,1518290.376665656
CIH,12719211.756647712
SXB,1233020.9891880814
IZA,1197797.0791839352
ESM,828427.539927462
GAN,23713.290349871742
DEE,45363.37938418125
YIF,9795.317115411071
ASE,142304.9235489679
BGA,917180.0957020628
KHS,181818.4297967295
YSM,2910.66238079792
MIM,42566.2909221228
KEW,1195.2564157510092
MTT,1215496.2522971623
PQC,1993822.8065420303
VOZ,2945830.5292937974
DLM,854740.627520843
UYN,2509547.198090823
WMO,405.592689427874
CNF,6549762.438335363
KIS,2707922.6350692324
KSO,222825.27098846235
XNN,6174223.17206476
JSU,4902.509112325775
LOK,2063001.6386680386
AVV,202532.89926574987
DEF,1265719.8700322416
VEL,102790.51052889944
BOY,8726244.57283921
IRP,2136747.507860679
KND,2367539.69111149
BFN,2251139.3153636144
STV,7257890.959923343
IKS,6546.9818758269
POZ,1964660.354259974
SUR,70.43042353563344
KHY,1073096.9082114184
QSF,1859752.2219288992
SKZ,10603177.54682146
NKC,2254662.79874788
GRV,960734.7343974577
SBW,716087.4896616605
SGU,99272.38779211818
MMY,36355.571867228384
TMU,273682.1712438239
GWL,9124869.72657516
PQQ,98110.2224529143
MWX,805064.5699943594
JDO,3857948.9655186087
RRG,44689.6892
MNS,2024941.1247028853
MRY,492060.8225441162
JGA,3124293.426858038
CXJ,951312.219684939
BMI,637802.6737672965
TGD,887335.5691949899
HIN,879188.0429454852
PRG,6682584.462298878
RYG,704628.2021925782
PRH,955481.3136204096
RDN,385905.1808762344
AHE,1510.0370131495902
RKD,90546.84744261832
ZKE,1673.608190708768
YZY,1072354.354592043
MAH,70686.905712487
HYA,208637.15840927945
MYD,1113197.931568387
AOG,2192722.0225999667
DJB,3262730.3724819487
ODN,132602.9013029093
IBA,5544081.8445504345
POM,752891.1547767534
MVP,158565.8433149969
TRS,587732.1864436888
LIL,1773506.4510905968
PPN,606862.9132576184
NDG,4238534.294334179
LNE,13961.482812235774
NYA,158608.7822148962
MFR,292652.3499355468
HRE,9415498.90273209
DAL,1112088.0238407159
PZO,1395221.1575722108
CMW,1005666.1770102944
LNK,350445.7227137946
SLK,197409.59747129388
TEN,3039644.9443534417
BNC,7211035.555770145
YGL,1349.3995669605404
KPV,119.24465597679509
BTC,1228666.8534069543
YSB,154939.67100928578
BDA,66846.19
RTW,1870638.8363256832
KTG,653964.8947490819
IXE,8905164.034458179
NOZ,672188.9878086323
AKX,583321.3937944187
ROI,1302872.8658534621
BLZ,5736995.794140722
KCO,524312.3005302721
YNO,2004.6339572384416
SFN,1147536.6035499123
OOL,471587.0539429858
NAN,405264.68954210216
YPR,7035.211047010673
DAU,32637.253411717924
TUG,2135444.891364993
LPB,3761804.679295979
ELH,18922.314916345123
HUU,763225.9291788883
MKQ,268634.8656031687
YOP,15819.503580576347
YZR,210990.0115362723
ULZ,47325.942034745276
RUA,4480727.13893249
BWT,105030.89209198444
PKR,5232739.588917851
JMU,5008934.982530982
ALH,35926.16186163312
SBP,283810.9664610934
YGT,1357.9921173820292
IXR,33504381.769864984
LED,7229140.76541402
EVE,34696.72662481683
SVO,8514717.189698443
MII,1135796.9053553285
MLO,92494.87744459989
JOS,4976681.8645686265
VER,2585332.4573313184
LGG,626258.1305220983
SAP,3890983.4369427883
CCJ,16162249.150126858
CYZ,2522819.0666045668
TKK,36245.880628000006
REP,7973037.658906285
STT,533619.5382800825
IVC,59293.882135503576
ZSE,126203.20573727095
TMP,377848.2994390449
RAE,368051.30079286045
CFR,443694.09128297464
SVB,579480.4581196755
VCS,694122.1924011111
KDH,3207061.632303754
FLN,1435332.2340058126
SIT,4489.213584756786
EQS,103845.82634642601
ANX,23147.330276171735
TWF,207138.5660788958
UAS,1806082.231633424
BLQ,2928529.951760764
BAL,1594952.3368364768
DAY,1151595.296138416
SKT,13427700.149382493
LYS,4539598.275953008
BNA,3194821.320540307
PVK,280662.29215858673
YBL,77854.55568069013
SDP,271.1404025189209
CMX,41521.4053330115
KNH,2291454.847142887
VDA,178530.05077394
TBW,1279894.398250965
LKN,20764.7743194532
POJ,812468.4594850802
LGB,1043146.1420495787
GND,426069.6356454304
SRQ,290126.2260572468
NSI,4294687.2139089
CUE,860000.7219741961
IXZ,386311.91618000006
FAR,263125.83399997733
BTK,560615.8894810461
SWF,457583.42121338326
MMU,269596.3660757702
TLN,147703.5170712641
ATM,187843.49594177218
CDJ,262201.9006411853
TEQ,314220.65225128125
LJA,616630.5148227231
RDZ,388257.8614336982
LIR,2007014.5197557325
BTV,683749.3041182222
GSE,675294.347101674
LRD,1402395.5080190287
ROT,89526.4658447178
SDN,47683.406466102606
RUT,204895.28993373638
TZX,1050584.3337601908
UKA,1238532.0425297043
KVC,350.22804790361624
BMA,506689.82597504
YAA,19710.623781699953
ACK,370629.66834684275
MCG,121.7467856140452
HSN,1621232.4754859144
YXL,38986.60731569808
YYJ,303384.6692842969
ONG,1602.7870005459547
MCZ,4190410.176514437
PTU,126.88000470867435
ZAD,927772.4129904814
ULV,942179.5976136436
MBT,1110459.6965273651
TTQ,156675.22691472585
HYN,1769506.4841243816
YXE,607608.5313951498
OAX,1862248.7988597397
DHN,182873.1504399861
SCQ,2140859.9620234505
AMQ,1571772.4636799998
AVL,731206.2599942681
BFJ,3756215.6577812717
NGO,10556632.530931363
UNK,891.3305028209004
BHJ,3663185.7958764737
AKJ,395507.74867233646
LMP,127421.16612371586
SMI,435770.791337951
AKK,15.659998086995465
TIM,1661939.0346995092
HNA,862343.9972172149
TJA,771838.5363497586
SAF,159889.56681634113
LLU,942.2268845674266
OGX,559099.2070057815
LNB,10010.519736495056
ATY,229346.3415295905
CWL,962907.4361348746
PJG,444167.83658119966
SKN,22942.998864267363
ITB,105243.38689267632
VDB,67549.14500720339
VIG,1040350.571054952
YNB,394506.31588684034
MHQ,126842.29457863358
NUE,1799811.0817816425
LHW,13972946.721760094
MLM,3209683.174351061
BEW,2360700.7682961486
OBU,288.98240046891317
RSW,1114247.4701522652
LCK,263177.5881097223
CBR,239441.85547548317
SJK,939949.4613677786
EYK,209963.84909209725
GLV,621.1426185006791
MXZ,4190016.096578088
HUY,395579.41721164924
MUR,216184.87503844168
BTI,870.6097078421291
TOB,283478.35627028946
VTZ,17906888.566961665
PMR,134803.02437380794
ANM,475230.8530188632
UTP,772484.3251190569
LBV,1638701.116582071
XSC,396054.50877739897
GNM,937122.3897068778
GDE,2546338.573696454
REN,1401885.235864406
BJM,4663720.094977998
STG,295.657132
DND,89212.17218237101
EGE,104664.61828870367
IEV,3259557.059135359
HFE,17059985.250767324
MOV,46053.88360186541
KMG,27111394.58070885
ABA,689253.2069834862
ZYL,8304234.363716102
ANR,201040.9260561661
TRK,542817.7387291306
LLB,1231901.7894654206
HKK,38159.71280558896
MVY,266537.6451380718
YPL,392.2335824835624
KVD,1654633.6141826173
ANF,363925.88040326757
YQF,263672.182461216
LSE,232517.3448015464
GES,1699438.5277581846
YWK,8045.952146719847
ORU,426839.4459080716
YPX,1403.2583825359702
MQX,2144759.1081726504
ZAG,1625633.0660952504
SXR,8209683.561198289
YBP,4193242.788687223
OGG,362322.04388241307
BIK,223917.1205320296
BTH,1875099.8539610812
PIB,286515.52158589853
BGR,204095.1335593736
PSC,237475.24296590395
JRO,3807105.1275600456
LDU,190801.20977748602
DEN,4697158.908706427
TRZ,6328437.600771771
VLC,2081588.4325231768
OGS,190172.36149103183
MDU,254515.9419542384
JUZ,2004677.278112077
ACC,13678900.278565545
EDO,261481.02274963245
ASR,1596626.677118911
RUH,8465923.663967896
FUT,5527.228692196383
PDP,212133.5389474968
KRY,855768.981511298
MQF,573440.5272088901
YWB,920.0552327935884
IAG,453701.073993344
NHV,2422.920090113577
THR,13580505.097006684
TUO,73804.52214678706
YCS,486.0088611345118
FKL,266579.17122702306
AUY,1534.2004102433357
KMQ,2587511.7887512674
LUH,4609621.831571402
YCB,1982.5586636
SSG,4830036.017236175
FRU,2290158.989141519
TLH,412088.33898412157
ESU,435101.0971343524
GSP,1252568.648100705
YEV,4296.679453487884
SDU,4711635.603122339
HVB,90374.12975513985
MJN,2068745.9951000584
LAR,80991.14895291282
CGQ,12123625.580580125
KRT,15529054.850000005
NUL,156.17016462311156
ABT,631299.3396887693
CWA,199467.545390078
YNS,8392.41589432292
SDY,36147.47935099556
NRN,2190886.066149538
JNU,20070.74577438867
VUS,311860.19933868013
KFP,642.3816257124682
BRS,3204335.052155592
FUJ,389776.5281868209
PEZ,1117666.1552388335
ILD,192914.7991576046
ARM,61686.81464560241
GPT,427341.09827470046
LAE,639381.5900049196
YNZ,5464811.955153205
CDV,1047.4915913629789
CJJ,1956617.745952112
MTE,157458.46034089403
SCU,1456383.7915805343
HOG,1195939.8876193045
MOZ,17711.519916918216
EOH,4142929.784233978
CHX,226799.79553020626
CGM,1115053.5232796657
GRP,279365.76010041
GPI,572675.2387916412
AOI,499108.64840064524
SDR,1063204.5714101077
SNV,353722.75886971474
TIP,3023175.541046085
YKA,134165.4789487696
BQK,131527.88631806636
ASV,865028.0439249739
HMI,683970.4242524416
SUV,311954.70450191305
YQM,240782.12999081335
HOD,2327521.6113443486
TMI,8707414.528553138
AJA,256652.0895775677
KDM,25661.56473081877
EUG,467938.1422400626
GZT,3607948.902903505
PNP,190706.56715813366
KSA,5703.883000000001
EGS,16640.522585986477
SVJ,21332.43157151522
ERN,138404.03937575652
FTU,2173644.1852250397
IXL,645382.52294244
BSC,500396.65446684393
HLH,2896266.2387572005
GMB,5554763.362625839
CIY,363719.6507745457
RVV,787.6697149893062
AZI,280763.3121590489
EOI,25074.7919996608
BPN,3900378.493654085
AXR,859.7826178000887
ZQN,129424.19214048068
BAX,768649.636621255
AJR,51859.89150608409
BAZ,20807.18582089828
MUK,161.44205106475098
BZV,3957157.9453988913
AWD,2645.227665345833
CLQ,660341.2398278815
THS,880291.3111065923
XMN,22960087.09898633
OSI,622997.0474254766
MPM,5342733.251370471
TIH,1117.3344153125847
FRS,1012794.7371127392
JIC,1526992.237564101
ASU,4085990.3850229424
SRG,15317838.326013666
YZS,946.315
DAC,74012411.03682363
BVC,73171.09523970721
PEG,309783.05153803306
IXB,21132911.129871827
BSB,6708497.204039998
KHV,1478850.9548352915
SKP,2042063.619958484
CUM,286078.5432713399
VCL,1012130.8388682959
ENH,1603435.5247118887
LFW,7923146.51899375
HDF,383255.1099312395
JKH,444366.05042443576
LAI,185232.58138283246
ABB,7931246.61698959
KHG,5001532.898254473
GCN,96541.60831119624
PIK,755289.6792258137
YUL,5225207.658486252
CAP,2011277.644183721
RES,1382797.1667405618
NVK,12582.793094127624
PWM,602946.8250550183
UTT,1247140.436932093
CEE,1927984.0244938862
VVI,1788608.6453547534
MAU,5452.87421043791
BWI,3322107.209205965
PGF,393527.0426775028
CSG,206528.7555654138
CSK,756484.6928168616
OER,63215.935262228304
KTE,192766.7033443241
YPM,5422.2200029587575
JOE,256935.2636892251
PMV,1881354.178229512
KLV,426352.0937025053
IMF,4824843.368213354
CVG,3238545.6881078905
WJR,4411560.239334656
ELL,1001449.6378110744
YOL,4824335.328348109
LAP,347107.7487645672
YPC,353.29230250450274
DRW,139247.58905352332
ZAL,553282.5528008778
AKU,1807508.229441984
OUA,17671428.308215912
CCK,553.4532
SAW,8075084.025910998
GBE,3146323.3775926577
IZO,437188.2157073332
KLX,255872.6266278289
RAO,3012551.9024588605
BLA,918732.9167581856
VLN,1589578.1714944958
EBU,377241.2210786646
UIH,1289024.0019471084
CEN,709977.2251753509
LRT,249137.76057101387
SRX,218960.47937213822
SLY,144479.79166574604
NOS,886946.418532333
FKQ,236613.67037943858
PMI,1488447.7268108109
PBD,3473695.2477819063
LUV,172880.04224585538
YQU,71137.59170441469
LPI,116416.62907369614
TYR,269691.0186627955
DGO,1490034.4207882248
GLO,257363.03090611086
VAK,866.7414006018579
AUX,466160.8996153954
UIP,159770.55987280054
BME,15949.265837620107
DNR,321207.3358127817
TAE,1225972.677458278
QBC,5095.817452427635
TBU,91769.053552
LCY,1698544.501641092
PYJ,36235.226764100036
WDH,357987.3146559309
KDO,19936.625288450494
XCR,200845.00786060386
CJC,367327.95835677115
RTM,1402276.7327970213
RCH,1150909.7802593743
RTA,1341.06709
PRC,125593.4539136522
CCS,8736449.343206117
TUF,569457.8818641774
OLB,413875.9973349889
IXJ,9011543.95362132
MSZ,641631.8115682615
ABQ,814542.7129386018
VOG,2394983.4793591253
HSG,480460.5204944458
CFK,718856.9303589436
AMH,9366057.77090371
GST,4535.360998390333
XAP,1057663.9077198084
SFA,420844.3377560271
NCL,2070224.6644281445
JTC,1310983.7393886282
CDB,1497.4692786134976
LEI,1546931.4935229241
TAO,17881140.33677756
MDK,2967073.524166597
YIW,4758995.06272646
LAU,997535.1864524734
MEC,727846.5283935856
TLV,12767358.407845013
KBL,13198406.091734935
CCP,2883903.880656277
BRM,1101883.3100019388
HTN,2413391.4220298883
ONJ,393994.7019199944
HFS,184588.03669607
LEB,248721.89691000566
FLL,2023700.2330344776
BOB,24820.50381721345
DUR,6911312.124650454
SSA,7917841.261647548
MDE,4548290.446681152
TRO,252991.6584670275
CLL,308658.9349216447
PTG,1528529.8921079403
FMI,4671746.167408865
UTN,496490.37485
LXS,453916.7756017725
BJB,1094617.9649168765
ROS,2620393.922785867
SWA,10641017.897860952
RIX,3060686.3749063355
RDU,2283855.0799175054
XFN,9465384.313142873
CSX,40173663.049640425
PKB,163747.9388930173
SYX,3824333.723425754
HSL,274.78759269758757
PIN,190458.36803924874
DFW,9299733.034538116
TAK,1316828.0239467842
MRS,2944479.819175129
BQL,334.83921137196165
TKU,258711.35284876337
ILG,488969.64718291647
YCG,133286.65594605973
SBH,56300.07498840447
URE,113862.61822553015
YVO,121875.06820625109
SYY,33506.02969864963
KGF,390385.6739540909
CXI,6662.1057
YYF,104269.24000133373
SVL,281115.8773704045
POR,212571.1569770556
PMW,308869.4824765316
WXN,4313086.337264366
MTV,8160.775059201045
TMT,129767.55149053557
CDC,21575.04611500456
LZH,6890204.654632078
HKD,820917.9778883598
TMS,224556.22801290802
ZIG,909672.6513521102
CAC,956522.9132773548
TCG,738420.0785286773
PEN,4652268.22983073
KTT,40040.54744175603
SJI,624536.8805147726
YLE,1493.7398022468485
BVB,352031.5028117296
YAX,113.500432137014
HTY,5138236.905169747
LOD,7155.200354396336
AUH,2316480.499322688
CAE,563137.2223578189
BUS,661386.1832621795
ARI,360155.7892081668
FSP,16245.739014738001
MTM,6621.056460932608
SXI,110305.24949737401
BNK,109183.44652851789
INZ,81850.04991853013
KAT,57428.32782302498
NBX,1224474.3965574559
YNC,1944.6061123365728
SHJ,1769686.2766045404
MME,218109.38636361767
NGB,11188645.47000006
SZG,1150276.9686543802
GUR,124079.70299222412
TAS,11559850.02731126
VIJ,82454.3896347687
PNR,2183383.227041217
BTJ,3522772.15481
AHU,696278.2324146585
MZR,2604795.7618561573
PKC,238085.79857199997
OVD,742926.8580429794
YOG,5324.461381785634
MOU,573.8865635812689
KGI,36982.39657690444
FKB,895262.7241503234
VGA,5930425.35865097
CRW,445008.6792379046
SGY,15462.466844014849
AEY,40733.46396574583
HRB,25869682.05199965
AMA,331322.2663481353
LKL,12822.497281471784
LRE,5124.0668691946885
SOC,7810336.581217599
VIS,173743.6123774407
MGB,101083.45843664712
KRK,6796576.7831519535
IMP,1148788.9130216031
PEI,2126895.207432894
MJD,6932387.785615212
SKU,241504.24298242698
EMK,1406.8659914062023
KDI,1639684.0253310937
GTO,1697724.1598762388
NAJ,709013.2011789309
KUA,560197.83398683
GRB,284683.25958233577
APF,89034.8977940523
CIA,2110290.542644328
ANS,753208.1824997049
LDB,2011514.793064075
PBL,823896.8549608234
NRT,19348788.702530693
HYG,3356.147932095145
KOP,1350671.8388177678
RVT,12084.951341294018
EWN,144950.71226113304
TXL,6993777.1011552885
YSK,862.6468835508772
RUS,25209.68467637537
ATZ,5490762.71601121
PNQ,21032971.518885624
ABR,86507.27449069559
KTA,22558.30410518523
MGA,2072325.8830149325
LIM,14494005.226252764
FWA,812071.9467812643
SLX,375522.41307476565
MAJ,35844.00144
PNL,395831.310028802
YBX,8698.555019789312
ILM,186561.57517861653
JBQ,539727.4485740925
YTQ,610.3291154032778
HPH,2403296.9415975157
SLA,1457644.432729822
MED,2404410.6696669543
BMU,642097.8279725866
BUN,553335.1704019892
LBC,417631.6936452384
KWK,631.4446175533842
YUT,1072.2636914999998
XKH,693951.7188312777
MIR,945394.7683516549
HRG,3719803.232524656
GOV,3253.010152041217
KYA,778410.9313914793
GHB,16708.155062464404
SCK,233785.70161016128
YXY,12673.487253104038
ISA,16990.535859333446
MEU,591095.9770835367
BLI,336756.0896527659
PSE,104168.56487096734
PHS,1400314.952697714
KSM,1333.8847171943048
HOI,1938.7481815572753
EKS,117590.63369778846
XIY,37901396.26450487
YUM,156230.54093946118
TBZ,3492904.6000648295
CGN,5098720.526795006
MEB,210872.12172442387
EIS,124282.35961072867
TSN,20136913.875289727
GOP,12065115.658938255
GSO,943608.4818742193
DOB,108476.48359733174
JNB,21532611.637855053
MCI,2555848.5285844114
HGU,1504056.4950146368
BAV,3274702.0937150456
PPK,479137.6158280068
IXG,6854052.516672688
BEG,4943007.878491447
EMA,3179507.8349122894
MXH,472481.6971830274
YKL,4120.518554140583
HJJ,2210655.6066466584
COD,51257.28433243448
AIT,2195.3865473662477
SLW,1002157.0109911243
SYQ,136403.15429069032
GRW,14089.472183635144
STN,6224873.808765771
LGK,1299733.8824104015
LSY,85075.14253644676
CUF,387006.3140374657
FTE,113835.89432991846
YQK,164683.39974902812
NER,118223.30939999998
MSP,5226297.966572148
RAR,10419.5183588459
SVA,852.0499023334198
GAO,857402.3810666177
PTY,2512893.613359131
YHU,674842.9141407118
YWG,900568.2552492893
JAV,5021.923787180515
PKY,1679908.9555948083
EGM,47213.39490686789
IQT,731529.947652311
LVI,580178.1795982126
APN,129013.55402933105
YLH,377.4677587471396
GTE,4589.193183490957
TFS,774738.7280841756
KRF,81680.86954927053
YOJ,15012.512698977594
YKG,911.960418938026
BVA,2228711.1557010016
OZZ,520253.49597631727
YMN,2117.0578759182363
LPD,46266.34541531323
KNG,214492.12603782464
CBS,946511.9852826907
SJJ,1238177.2061576915
KEM,109916.34111087448
SPN,55673.29060844759
LOH,1292467.8689760696
CTU,42983218.1476086
BBA,145717.98599116525
CIC,221683.7052176037
VBY,130026.56486905667
BIM,61192.75086371964
DKR,10797814.401984377
KCH,3885735.3797138664
SJO,2679352.855384726
TGG,573392.8362499382
YMT,70141.76726092107
YHR,16989.6282362501
NAV,1010591.494900314
OKJ,1688911.2397799687
KIT,97513.5963350777
ANU,207280.68030342253
DSA,565213.7052684186
AER,1571571.145610453
KWT,452.99641821438377
AKP,156.1467920045574
ZEM,1977.7754816886998
MKW,519341.3911173471
MZT,1438643.9421681429
VLV,595279.8556229629
MJU,1434460.1507174931
GYN,2666467.885402528
SJW,22730285.860739075
BBO,878857.4189765156
WLK,320.83515139771623
LTN,3712296.911362089
BSA,830922.4458301553
NOV,2323566.256698016
WNZ,6662764.657532837
LAO,2148908.4457361074
BCD,1698475.5372183847
YYD,18055.47822526141
ACZ,543276.1000340688
MLA,835119.0446946226
NDJ,10358877.02366399
MDC,2688761.443755996
FSM,269600.7991682539
EGC,601612.830039261
DIU,3055184.3812405323
OUD,1179297.5396375756
HAA,10146.611848011664
FDF,221132.24599739187
SRY,1766359.6830444015
OIM,695171.776745313
GMP,5836877.496222792
AGX,57081.46992
ZQW,352341.3614452021
KOT,1029.9324645150405
HIR,297494.1557295537
RTB,1017239.3006743364
BQB,93892.86909523733
MYU,494.2615448700523
MDW,3886936.109899832
KDV,48062.10774639539
LBU,206556.0350071967
GLK,1371749.730560905
DAR,7863255.053346279
BRW,3764.1601758106376
LNS,212875.35418308954
WNA,436.3047674592173
CGK,70493413.38607834
LGA,3373160.325309188
CMH,1871249.4874056752
STW,814531.9811118569
CFB,1125268.1058232444
YNT,5549724.715965419
BTM,61147.48410140356
UKX,100539.4888167443
YOW,1703298.5592140506
PIR,98038.9059386099
SCL,11826860.333292145
RHD,582160.5638163482
ERI,385566.5148677744
PLN,74483.51892357548
LSC,918902.707874052
MQJ,12411.919570000005
MYY,525883.1669697864
JAN,686653.5731426785
DEA,7390693.296068408
ODS,2512313.1561504914
ERC,903422.4827652159
MSO,174615.70829242835
PLX,634011.070555912
IDR,30085566.494638626
JNX,161763.1999685054
SKG,2596919.1198169896
GDQ,6873664.438383837
AKV,945.6378535743044
OVB,3989533.942193242
EAT,117060.31502509232
CRD,368843.09471541655
USH,82463.3244590611
CAJ,181466.89805195312
HIB,75987.57199847721
OAG,154124.55631947966
VAI,367264.0910027779
LLI,7381287.889716168
MQL,84641.88476273313
MQT,112261.6631906472
THE,3587875.961611455
KLU,308604.3106671528
NGE,2466479.7963675074
SCO,564792.6444279727
KGE,16400.554783410902
VVO,2351959.2780781807
MHH,24077.97025845777
ZTB,9889.840317806147
SVX,5229009.665641131
KWN,1018.9773434071964
TDX,666866.4360606873
GZP,588491.2507256321
SML,887.6847238697432
BKW,142336.9480309084
ZKG,3483.693316060593
CVM,472124.3747868454
YAP,8622.140215500001
BPS,984457.0292239926
YZF,19962.201939592866
JSY,164652.95992358556
MRZ,47870.362417260476
TXN,6188795.251940829
MSY,2278365.399344524
ISG,59906.67048106335
GXF,541229.2998837285
ESC,92532.95489550733
DRO,188960.48844529208
OMS,1903063.7126869732
MKP,1325.4364971144078
RCB,944935.0602594613
JQE,80323.88323205555
RVD,706201.234700792
BSS,437504.7665642918
KTL,5672552.402942748
PSG,6862.504913268864
HOT,303794.48083813704
CKY,4802507.835157664
KWM,834.6533218308173
NBO,13027862.098205484
SNW,2049073.3311557262
CEI,795431.0179856664
VAW,60093.59442985541
PIT,1488705.3313133202
PQI,85963.69901666883
ADU,1243621.1773374672
KUL,16209348.853217175
OMO,184975.83174777147
AVA,2085260.5176105576
TMC,713817.5235691159
MSU,1562459.5759188503
DBV,2572636.750903183
MYR,811676.5478150592
MLE,333561.6614925511
PVH,929961.723391742
MJF,26605.768590523363
BUX,6427119.177614686
JNN,942.2268845674266
JPR,389179.4264899769
AZD,1472657.2693012631
UYU,184018.20988257512
AAR,440245.8652836305
ABL,538.7152743228319
ACA,1083674.2893545676
PAD,658293.6427594094
GWD,425713.31452622905
NQY,207325.89243991347
ILP,13096.154895566431
KTM,76085919.40942429
ADK,120.87485734940252
HAU,102133.69498176637
PLM,7633338.607600876
TYF,137370.4141336479
DED,6920258.91136162
HTI,43275.512859974704
RMA,20742.660710047705
LWO,5117162.628728041
STI,2753587.6871825503
CKH,6734.101045800003
MBA,2313424.6417156
HIJ,1498318.8841059885
YTY,6620539.9974982785
YGK,175079.47781975608
GMZ,41475.99271405943
PFO,337881.2037695618
AKN,1178.19660338576
ZHY,3265922.9676208426
IVL,42285.69749224697
UIN,174494.19532017753
MWF,4412.460838785213
GEV,70605.68419008168
LYC,110900.72810078801
OPS,615909.7072697093
TJU,1204395.9619271485
ZSA,1294.1777556624138
GPB,652247.8876337165
TVU,31214.852178069897
ROC,1097463.6151028536
EGX,436.37954490792976
YYH,1812.3264199999999
CBH,437259.87154783023
PJM,215544.742197045
UMD,1627.921059544016
HSV,837503.9818365155
PKE,94550.01576962325
ZGU,9631.160334754022
HDM,1091736.2912687669
YDQ,65258.81548587044
FON,184259.73156153352
RSA,587910.7310419542
XIC,2050703.1391036937
CEB,11908847.981132148
ASP,30293.533068917197
PXO,31396.742581032035
GYA,186653.71741123972
OSL,2075649.100311071
AMM,8572607.61197273
BRD,263141.46998250426
LKH,158673.76335543225
GIL,1537615.7014294546
GCI,917240.5648881549
ADF,1729676.3591202789
RHI,178034.45745899618
YDF,48291.39295443838
PNA,219023.16464415414
KOO,4970215.27401649
SHB,84910.46249936093
IFJ,42134.017518488
HOV,61381.00981659564
WIL,7532310.860585879
KOK,191754.37834466965
VGZ,370718.0553077233
EGO,3579938.726369175
MYT,2899445.246134161
GKK,28699.95213939899
BUR,1131842.4416198065
FMA,1699112.6300643787
UAH,1952.2513208678006
YZG,1245.315565337708
LUG,278743.3620402741
MNA,126624.08979586537
YHI,401.35400000000004
OND,687105.6081219558
YQG,307873.80173539923
DCY,480989.75835405453
RGS,418628.0239580239
TGC,297805.734206077
TQL,50340.07171339086
MMJ,1345688.4203300998
RGN,18005343.689693093
RPR,30542463.47124693
PIU,1114927.412690681
MRU,945457.1192990785
UIO,5712352.066102767
SJL,58406.97465766921
YKU,1867.8481530024555
ZBR,809615.5156690195
BSR,2076874.8832561304
GDX,101159.30191812203
LPM,9278.811478574497
CXR,1409500.4189531892
TBP,975254.5369784627
SAH,15082925.256875195
SDQ,3221765.112444557
ZRH,8014319.523055849
TNA,31733430.39801055
ABD,1303982.7395113693
MHG,200505.13524493907
YFH,4278.234131223843
VCP,13897726.115889132
VKO,4805425.428384713
DJE,1819982.6217318524
PKA,528.6256992121351
KGS,907735.1876452456
LTI,46243.721286125314
APO,1228204.5342429806
XCH,2069.492908
ARN,2661080.6088893632
YIK,1879.906842293101
WIC,34875.333464746116
TUR,282853.69519835326
ACI,227435.0986861285
MAZ,103095.3639857021
NJC,203063.87772035788
PPS,1021667.4126933062
BOO,71987.85555585494
HLD,932480.3775873284
NTE,3123225.9150058045
LNJ,1113375.0733974031
LAD,18455788.425189286
PBH,12389258.910513366
TBG,389816.7612654128
EUX,19497.378099533707
LLF,3548603.3529124768
XKS,85.90442819788954
TMJ,1797119.7333467181
BJX,4158213.9597736574
CYB,109053.00039535775
CYF,901.8360697578676
ISE,224599.645923806
KSY,698282.4539544643
SFL,22052.193623929878
KSQ,2568984.9552921043
MKM,178181.0446868439
LCA,5870515.482780224
YXJ,99204.55652795607
HON,152857.92864127213
COK,24332246.33406796
KKH,577.9749160254272
GGW,19313.858951016766
VBV,5929.235367448988
AAE,2117569.0520706093
PDG,4041208.706055854
EVV,422347.1006339915
YBK,2484.2183953623744
LUQ,570830.2706713781
KRS,231417.67085483525
SGN,30440753.83069469
BAQ,2969773.3281457275
TOG,515.3425531314325
TML,6867453.741458343
GUW,500002.4189442504
PDL,85176.80656393345
SXO,160073.6980140927
CCV,16771.557162002846
AQG,3973330.9977933513
CAY,287709.3227733261
POA,4974563.895495678
OBY,161.3310401033667
MDZ,2943906.3468811833
STL,3283186.77457131
MAB,1040890.2175545804
LUD,27763.446561444198
MBJ,1536280.7545192302
